CODUG,SIGLA,CMA,CIDADE/ESTADO
160111,Cmdo 4ª Bda Inf L Mth,CML,Juiz de Fora/MG
160113,4º BE Cmb,CML,Itajubá/MG
160116,17º B Log L Mth,CML,Juiz de Fora/MG
160118,Cmdo 4ª RM,CML,Belo Horizonte/MG
160120,4º D Sup,CML,Juiz de Fora/MG
160121,H Ge JF,CML,Juiz de Fora/MG
160122,55º BI,CML,Montes Claros/MG
160123,14º GAC,CML,Pouso Alegre/MG
160126,11º BI Mth,CML,São João del Rei/MG
160127,4º GAAAe,CML,Sete Lagoas/MG
160129,EsSA,CML,Três Corações/MG
160130,36º BI Mec,CMP,Uberlândia/MG
160131,17º RC Mec,CMO,Amambai/MS
160132,9º BE Cmb,CMO,Aquidauana/MS
160133,10º RC Mec,CMO,Bela Vista/MS
160134,CI Op Esp,CML,Niterói/RJ
160136,Cmdo 9º Gpt Log,CMO,Campo Grande/MS
160137,3º BIS,CMA,Barcelos/AM
160139,H Gu JP,CMNE,João Pessoa/PB
160140,Cmdo 9ª RM,CMO,Campo Grande/MS
160141,CRO/9,CMO,Campo Grande/MS
160142,9º B Sup,CMO,Campo Grande/MS
160143,H Mil A CG,CMO,Campo Grande/MS
160145,17º B Fron,CMO,Corumbá/MS
160146,Cmdo 18ª Bda Inf Fron,CMO,Corumbá/MS
160147,47º BI,CMO,Coxim/MS
160148,Ba Adm Ap / CMP,CMP,Brasília/DF
160149,Cmdo 4ª Bda C Mec,CMO,Dourados/MS
160150,4ª Cia E Cmb Mec,CMO,Jardim/MS
160151,9º GAC,CMO,Nioaque/MS
160152,11º RC Mec,CMO,Ponta Porã/MS
160153,2ª Cia Fron,CMO,Porto Murtinho/MS
160155,Cmdo Fron Jauru/66º BI Mtz,CMO,Cáceres/MT
160156,44º BI Mtz,CMO,Cuiabá/MT
160157,9º BEC,CMO,Cuiabá/MT
160158,Cmdo 13ª Bda Inf Mtz,CMO,Cuiabá/MT
160159,18º GAC,CMO,Rondonópolis/MT
160160,51º BIS,CMN,Altamira/PA
160161,2º BIS,CMN,Belém/PA
160163,Cmdo 8ª RM,CMN,Belém/PA
160165,8º D Sup,CMN,Belém/PA
160166,H Ge Belém,CMN,Belém/PA
160167,53º BIS,CMN,Itaituba/PA
160168,H Gu Marabá,CMN,Marabá/PA
160169,52º BIS,CMN,Marabá/PA
160170,Cmdo 23ª Bda Inf SI,CMN,Marabá/PA
160171,8º BEC,CMN,Santarém/PA
160172,16º RC Mec,CMNE,Bayeux/PB
160173,31º BI Mtz,CMNE,Campina Grande/PB
160174,15º BI Mtz,CMNE,João Pessoa/PB
160175,Ba Adm Gu JP,CMNE,João Pessoa/PB
160176,Cmdo 1º Gpt E,CMNE,João Pessoa/PB
160177,71º BI Mtz,CMNE,Garanhuns/PE
160178,14º BI Mtz,CMNE,Jaboatão dos Guararapes/PE
160179,3º CGEO,CMNE,Olinda/PE
160180,4º BPE,CMNE,Recife/PE
160181,7º GAC,CMNE,Olinda/PE
160182,7ª Cia Com,CMNE,Recife/PE
160183,72º BI Mtz,CMNE,Petrolina/PE
160184,10º Esqd C Mec,CMNE,Recife/PE
160185,14º B Log,CMNE,Recife/PE
160186,Ba Adm / QGEx,CMP,Brasília/DF
160188,4º B Com,CMNE,Recife/PE
160189,7ª ICFEx,CMNE,Recife/PE
160191,CPOR / R,CMNE,Recife/PE
160192,Ba Adm Ap / 5ª DE,CMS,Curitiba/PR
160193,Cmdo 10ª Bda Inf Mtz,CMNE,Recife/PE
160194,Cmdo 7ª RM,CMNE,Recife/PE
160195,Cmdo CMNE,CMNE,Recife/PE
160196,Ba Adm Ap / CMN,CMN,Belém/PA
160197,6ª ICFEx,CMNE,Salvador/BA
160198,7º D Sup,CMNE,Recife/PE
160199,H Mil A Recife,CMNE,Recife/PE
160200,Pq R Mnt/7,CMNE,Recife/PE
160201,CRO/7,CMNE,Recife/PE
160202,3º BEC,CMNE,Picos/PI
160203,2º BEC,CMNE,Teresina/PI
160204,25º BC,CMNE,Teresina/PI
160206,30º BI Mec,CMS,Apucarana/PR
160207,3° RCC,CMS,Ponta Grossa/PR
160209,Cmdo 15ª Bda Inf Mec,CMS,Cascavel/PR
160211,20º BIB,CMS,Curitiba/PR
160212,27º B Log,CMS,Curitiba/PR
160213,5º B Log,CMS,Curitiba/PR
160214,5ª Cia Com Bld,CMS,Curitiba/PR
160215,CRO/8,CMN,Belém/PA
160216,5º Esqd C Mec,CMS,Castro/PR
160217,5º GAC AP,CMS,Curitiba/PR
160218,CMBel,CMN,Belém/PA
160219,Cmdo 5ª RM,CMS,Curitiba/PR
160220,CRO/5,CMS,Curitiba/PR
160221,CIE,CMP,Brasília/DF
160222,5º B Sup,CMS,Curitiba/PR
160223,H Ge Curitiba,CMS,Curitiba/PR
160224,Pq R Mnt/5,CMS,Curitiba/PR
160225,Ba Adm / Curado,CMNE,Recife/PE
160226,34º BI Mec,CMS,Foz do Iguaçu/PR
160227,15ª Cia Inf Mtz,CMS,Guaíra/PR
160228,26º GAC,CMS,Guarapuava/PR
160229,15º GAC AP,CMS,Lapa/PR
160230,15ª Cia E Cmb Mec,CMS,Palmas/PR
160232,13º BIB,CMS,Ponta Grossa/PR
160233,Cmdo 5ª Bda C Bld,CMS,Ponta Grossa/PR
160234,5º RCC,CMS,Rio Negro/PR
160236,2ª Cia Inf,CML,Campos dos Goitacazes/RJ
160237,CAEx,CML,Rio de Janeiro/RJ
160238,Ba Ap Log Ex,CML,Rio de Janeiro/RJ
160239,HMR,CML,Rio de Janeiro/RJ
160240,9ª Bia AAAe (Es),CML,Macaé/RJ
160241,OCEx,CML,Rio de Janeiro/RJ
160244,Cmdo AD/1,CML,Rio de Janeiro/RJ
160245,Pol Mil Niterói,CML,Niterói/RJ
160246,DC Mun,CML,Paracambi/RJ
160247,32º BIL Mth,CML,Petrópolis/RJ
160249,AMAN,CML,Resende/RJ
160250,1º B Com,CMS,Santo Ângelo/RS
160251,B Es Com,CML,Rio de Janeiro/RJ
160252,1º B E Cmb (Es),CML,Rio de Janeiro/RJ
160253,1º BG,CML,Rio de Janeiro/RJ
160254,1º BI Mec (Es),CML,Rio de Janeiro/RJ
160255,1º BPE,CML,Rio de Janeiro/RJ
160259,1º GAAAe,CML,Rio de Janeiro/RJ
160261,1ª ICFEx,CML,Rio de Janeiro/RJ
160262,1º RCC,CMS,Santa Maria/RS
160263,11º GAC,CML,Rio de Janeiro/RJ
160264,111ª Cia Ap MB,CML,Rio de Janeiro/RJ
160265,15º RC Mec (Es),CML,Rio de Janeiro/RJ
160267,2º BI Mtz (Es),CML,Rio de Janeiro/RJ
160270,2º RCGd,CML,Rio de Janeiro/RJ
160272,21º GAC,CML,Niterói/RJ
160274,25º B Log (Es),CML,Rio de Janeiro/RJ
160277,31º GAC (Es),CML,Rio de Janeiro/RJ
160278,5º CGEO,CML,Rio de Janeiro/RJ
160279,57º BI Mtz (Es),CML,Rio de Janeiro/RJ
160283,PMZS,CML,Rio de Janeiro/RJ
160285,AGR,CML,Rio de Janeiro/RJ
160287,BIBLIEx,CML,Rio de Janeiro/RJ
160288,CIG,CML,Rio de Janeiro/RJ
160289,CEP / FDC,CML,Rio de Janeiro/RJ
160290,CPOR / RJ,CML,Rio de Janeiro/RJ
160291,CTEx,CML,Rio de Janeiro/RJ
160292,CMRJ,CML,Rio de Janeiro/RJ
160293,Cmdo 1ª Bda AAAe,CMSE,Guarujá/SP
160295,Cmdo GUEs/9ª Bda Inf Mtz,CML,Rio de Janeiro/RJ
